query,Category,Topic
What is A* Search? Explain the stages of A* Search with an example.,AI,A* Search
What are real-world applications of modern AI systems?,AI,AI Applications
Compare symbolic AI and statistical AI.,AI,AI Approaches
Discuss ethical issues in Artificial Intelligence.,AI,AI Ethics
Explain transparency in AI systems.,AI,AI Ethics
What is accountability in AI systems?,AI,AI Ethics
What is ethical AI design?,AI,AI Ethics
Differentiate between Strong AI and Weak AI.,AI,AI Fundamentals
What are the different branches of Artificial Intelligence?,AI,AI Fundamentals
What is Artificial Intelligence? Explain its goals and characteristics.,AI,AI Fundamentals
What are the limitations of Artificial Intelligence?,AI,AI Limitations
What is AI safety problem?,AI,AI Safety
Explain problem reduction using AND-OR graphs.,AI,AND OR Graphs
Compare A* and AO* algorithms.,AI,AO Star Algorithm
What are AO* algorithms? Explain with an example.,AI,AO Star Algorithm
What are adversarial attacks in AI?,AI,Adversarial ML
Explain Adversarial Search Problem with an example.,AI,Adversarial Search
Explain adversarial search tree construction.,AI,Adversarial Search
Program an algorithm to find the best approximate solution to the,AI,Algorithm Programming
Explain move ordering in Alpha-Beta pruning.,AI,Alpha Beta Pruning
Explain Alpha-Beta Pruning with an algorithm and example.,AI,Alpha-Beta Pruning
Explain outlier detection methods.,AI,Anomaly Detection
What is anomaly detection in AI?,AI,Anomaly Detection
Write a function to calculate all possible assignment vectors of 2n,AI,Assignment Vectors
What is attention mechanism in AI models?,AI,Attention Mechanism
What is self-attention?,AI,Attention Mechanism
Explain Backward Chaining with an example.,AI,Backward Chaining
Explain the Backward Chaining algorithm with an example.,AI,Backward Chaining
Write short notes on Decision Trees and Backward Chaining.,AI,Backward Chaining
What are Bayesian Networks?,AI,Bayesian Networks
Explain Bayes' theorem and its applications in AI.,AI,Bayesian Reasoning
What is Bayesian reasoning? Explain with an example.,AI,Bayesian Reasoning
Explain belief revision in Artificial Intelligence.,AI,Belief Revision
Explain Bellman equation in reinforcement learning.,AI,Bellman Equation
Explain Bidirectional Search with an example.,AI,Bidirectional Search
Explain gradient boosting machines.,AI,Boosting
Explain Breadth First Search (BFS) with an example.,AI,Breadth First Search
Compare rule-based systems and case-based reasoning.,AI,Case Based Reasoning
What is case-based reasoning? Explain with an example.,AI,Case Based Reasoning
Explain certainty factors in expert systems.,AI,Certainty Factors
Explain clustering in AI.,AI,Clustering
Explain DBSCAN clustering algorithm.,AI,Clustering Methods
What is hierarchical clustering?,AI,Clustering Methods
Explain cognitive architectures in Artificial Intelligence.,AI,Cognitive Architecture
What is commonsense knowledge?,AI,Commonsense Knowledge
Discuss computer vision as a branch of AI.,AI,Computer Vision
Explain Connectionist Expert Systems and Inductive Learning.,AI,Connectionist Expert Systems
Explain Constraint Graph with an example.,AI,Constraint Graph
Define Constraint Satisfaction Problem (CSP). How is CSP formulated as a search problem? Explain with an example.,AI,Constraint Satisfaction Problem
Explain constraint-based scheduling.,AI,Constraint Scheduling
What is coordination in multi-agent systems?,AI,Coordination
Explain Cryptarithmetic Problem with an example.,AI,Cryptarithmetic Problem
Explain the Cumulative Learning Process with an example.,AI,Cumulative Learning
How are Data Science and Machine Learning related to,AI,Data Science vs Machine Learning
Can you name a few data structures that are commonly,AI,Data Structures
What is deep reinforcement learning?,AI,Deep RL
Explain Depth First Search (DFS) with an example.,AI,Depth First Search
Explain Depth Limited Search (DLS) with an example.,AI,Depth Limited Search
Explain dimensionality reduction techniques.,AI,Dimensionality Reduction
What are embeddings in AI?,AI,Embeddings
What is ensemble learning in AI?,AI,Ensemble Learning
Explain bagging and boosting.,AI,Ensemble Methods
Discuss Evaluation Functions.,AI,Evaluation Functions
"Explain precision, recall, and F1-score.",AI,Evaluation Metrics
What are evaluation metrics in AI systems?,AI,Evaluation Metrics
What is ROC curve and AUC?,AI,Evaluation Metrics
What is confusion matrix?,AI,Evaluation Metrics
Explain selecting the appropriate problem for an Expert System.,AI,Expert System Development
Explain the stages in the development of an Expert System.,AI,Expert System Development
Discuss the detailed Life Cycle Model of an Expert System.,AI,Expert System Life Cycle
Explain the Expert System Life Cycle.,AI,Expert System Life Cycle
Explain Expert System Shells and Tools.,AI,Expert System Shells
Define Expert Systems. Explain the architecture of an Expert System with a neat diagram and example.,AI,Expert Systems
What is working memory in expert systems?,AI,Expert Systems
"Why do many people say they will not trust a ""robo-doc"" medical diagnosis expert system?",AI,Expert Systems
Write short notes on Expert Systems.,AI,Expert Systems
Describe at least three advantages that expert systems offer organizations that would otherwise have to employ human experts.,AI,Expert Systems Advantages
Explain the advantages of Expert Systems.,AI,Expert Systems Advantages
