query,Category
What is the history of Artificial Intelligence? Provide details.,AI
Explain weak AI vs strong AI systems. ,AI
What are the ethical implications of artificial general intelligence? Explain.,AI
How is AI used in automated decision making systems? Provide details.,AI
What are the main components of an AI system? Provide details.,AI
Describe Turing test in artificial intelligence. ,AI
What are expert systems in artificial intelligence? Explain.,AI
How does pathfinding algorithms like A* work in AI? Explain.,AI
Explain symbolic AI vs connectionist AI. Provide details.,AI
How can AI solve complex planning tasks? Describe details.,AI
What is the difference between supervised and unsupervised learning? Provide details.,ML
How does a decision tree algorithm split data? Provide details.,ML
Explain bias-variance tradeoff in machine learning. Provide details.,ML
What is gradient descent and how is it used in regression? Provide details.,ML
How do support vector machines find the optimal hyperplane? ,ML
Describe k-means clustering algorithm steps. Explain.,ML
What is cross validation in machine learning model evaluation? ,ML
Explain principal component analysis for dimensionality reduction. ,ML
What are ensemble methods like random forest and gradient boosting? ,ML
How does regularization (L1 and L2) prevent overfitting? Provide details.,ML
What is a neural network and how does backpropagation work? Describe details.,DL
"Explain activation functions like ReLU, Sigmoid, and Tanh. Explain.",DL
What are convolutional neural networks used for? Describe details.,DL
Explain vanishing and exploding gradient problems in deep networks. ,DL
What is dropout layer and how does it prevent overfitting in DL? ,DL
Describe the architecture of Recurrent Neural Networks. Describe details.,DL
What is generative adversarial network and how does it train? Describe details.,DL
Describe deep autoencoders and their reconstruction loss. Describe details.,DL
How does batch normalization speed up deep network training? ,DL
Explain self-attention mechanism in deep learning architectures. ,DL
What is tokenization and lemmatization in text processing? Explain.,NLP
Explain TF-IDF and bag of words models. Explain.,NLP
How do word embeddings like Word2Vec and GloVe work? ,NLP
Explain the architecture of Transformer models in NLP. Describe details.,NLP
What is Named Entity Recognition and how is it built? Describe details.,NLP
How does BERT perform masked language modeling tasks? Explain.,NLP
Explain sequence to sequence models for machine translation. ,NLP
How do we evaluate text generation models using BLEU and ROUGE? Explain.,NLP
Explain sentiment analysis using recurrent network models. Explain.,NLP
What is parser and dependency parsing in computational linguistics? Provide details.,NLP
What is reinforcement learning and how is it different from ML? Provide details.,RL
Explain Markov Decision Processes framework in RL. Provide details.,RL
What is the exploration vs exploitation dilemma? Describe details.,RL
How does Q-learning update its Q-table values? ,RL
Explain policy gradient methods and Actor-Critic architectures. ,RL
What is deep Q-network and how does it use experience replay? ,RL
Describe reward shaping and policy optimization in RL. ,RL
What is temporal difference learning in reinforcement learning? Provide details.,RL
Explain Monte Carlo tree search and its integration with RL. Describe details.,RL
